Type|Pin Number|X Location|Y Location|Net Name|Net Type
Pin|101.D1|16.5100|-118.1100|10101|Digital
Pin|VIA20|-30.7999|-1.0000|10101|Digital
Pin|101.D2|19.0500|-115.5700|10102|Digital
Pin|VIA15|-30.3999|-1.0000|10102|Digital
Pin|101.D4|24.1300|-115.5700|10104|Digital
Pin|VIA12|-29.9999|-1.0000|10104|Digital
Pin|101.D5|26.6700|-118.1100|10105|Digital
Pin|VIA8|-29.5999|0.2000|10105|Digital
Pin|101.D6|29.2100|-115.5700|10106|Digital
Pin|VIA9|-29.5999|-1.0000|10106|Digital
Pin|101.D10|39.3700|-115.5700|10110|Digital
Pin|VIA1|-28.3999|-1.0000|10110|Digital
Pin|101.D12|44.4500|-115.5700|10112|Digital
Pin|VIA2|-28.3999|-0.6000|10112|Digital
Pin|101.D14|49.5300|-115.5700|10114|Digital
Pin|VIA3|-28.7999|0.2000|10114|Digital
Pin|102.D1|16.5100|-138.4300|10201|Digital
Pin|VIA32|-31.5999|-1.0000|10201|Digital
Pin|102.D2|19.0500|-135.8900|10202|Digital
Pin|VIA10|-29.5999|-0.6000|10202|Digital
Pin|102.D3|21.5900|-138.4300|10203|Digital
Pin|VIA26|-31.1999|-1.0000|10203|Digital
Pin|102.D4|24.1300|-135.8900|10204|Digital
Pin|VIA11|-29.5999|-0.2000|10204|Digital
Pin|102.D10|39.3700|-135.8900|10210|Digital
Pin|VIA6|-29.1999|-1.0000|10210|Digital
Pin|102.D12|44.4500|-135.8900|10212|Digital
Pin|VIA4|-28.7999|-1.0000|10212|Digital
Pin|115/515.C2|54.6100|156.2100|11502|Digital
Pin|VIA78|31.2000|-0.5999|11502|Digital
Pin|115/515.C4|49.5300|156.2100|11504|Digital
Pin|VIA72|30.4000|-0.5999|11504|Digital
Pin|115/515.B7|41.9100|158.7500|11507|Digital
Pin|VIA79|31.2000|0.2001|11507|Digital
Pin|115/515.C8|39.3700|156.2100|11508|Digital
Pin|VIA73|30.4000|0.2001|11508|Digital
Pin|115/515.C10|34.2900|156.2100|11510|Digital
Pin|VIA64|29.6000|0.6001|11510|Digital
Pin|115/515.C12|29.2100|156.2100|11512|Digital
Pin|VIA52|28.8000|0.6001|11512|Digital
Pin|115/515.B13|26.6700|158.7500|11513|Digital
Pin|VIA42|28.0000|0.6001|11513|Digital
Pin|115/515.C14|24.1300|156.2100|11514|Digital
Pin|VIA47|28.4000|-0.5999|11514|Digital
Pin|115/515.B15|21.5900|158.7500|11515|Digital
Pin|VIA53|28.8000|-0.5999|11515|Digital
Pin|115/515.C16|19.0500|156.2100|11516|Digital
Pin|VIA58|29.2000|-0.5999|11516|Digital
Pin|116/516.B1|57.1500|179.0700|11601|Digital
Pin|VIA65|29.6000|1.0001|11601|Digital
Pin|116/516.C2|54.6100|176.5300|11602|Digital
Pin|VIA59|29.2000|1.0001|11602|Digital
Pin|116/516.C4|49.5300|176.5300|11604|Digital
Pin|VIA54|28.8000|1.0001|11604|Digital
Pin|116/516.B15|21.5900|179.0700|11615|Digital
Pin|VIA55|28.8000|-0.9999|11615|Digital
Pin|121.D1|-57.1500|-118.1100|12101|Digital
Pin|VIA16|-30.3999|1.0000|12101|Digital
Pin|121.D2|-54.6100|-115.5700|12102|Digital
Pin|VIA21|-30.7999|1.0000|12102|Digital
Pin|121.D4|-49.5300|-115.5700|12104|Digital
Pin|VIA27|-31.1999|1.0000|12104|Digital
Pin|121.D6|-44.4500|-115.5700|12106|Digital
Pin|VIA33|-31.5999|-0.6000|12106|Digital
Pin|121.D7|-41.9100|-118.1100|12107|Digital
Pin|VIA28|-31.1999|-0.6000|12107|Digital
Pin|121.D8|-39.3700|-115.5700|12108|Digital
Pin|VIA22|-30.7999|-0.6000|12108|Digital
Pin|121.D10|-34.2900|-115.5700|12110|Digital
Pin|VIA34|-31.5999|1.0000|12110|Digital
Pin|121.D11|-31.7500|-118.1100|12111|Digital
Pin|VIA37|-31.9999|0.6000|12111|Digital
Pin|121.D12|-29.2100|-115.5700|12112|Digital
Pin|VIA17|-30.3999|-0.6000|12112|Digital
Pin|121.D13|-26.6700|-118.1100|12113|Digital
Pin|VIA38|-31.9999|0.2000|12113|Digital
Pin|122.D2|-54.6100|-135.8900|12202|Digital
Pin|VIA29|-31.1999|0.6000|12202|Digital
Pin|122.D3|-52.0700|-138.4300|12203|Digital
Pin|VIA35|-31.5999|0.6000|12203|Digital
Pin|122.D4|-49.5300|-135.8900|12204|Digital
Pin|VIA36|-31.5999|0.2000|12204|Digital
Pin|122.D10|-34.2900|-135.8900|12210|Digital
Pin|VIA13|-29.9999|-0.6000|12210|Digital
Pin|122.D12|-29.2100|-135.8900|12212|Digital
Pin|VIA39|-31.9999|-0.2000|12212|Digital
Pin|122.D14|-24.1300|-135.8900|12214|Digital
Pin|VIA40|-31.9999|-0.6000|12214|Digital
Pin|122.D15|-21.5900|-138.4300|12215|Digital
Pin|VIA41|-31.9999|-1.0000|12215|Digital
Pin|123.D2|-54.6100|-156.2100|12302|Digital
Pin|VIA18|-30.3999|0.6000|12302|Digital
Pin|123.D4|-49.5300|-156.2100|12304|Digital
Pin|VIA23|-30.7999|0.6000|12304|Digital
Pin|123.D10|-34.2900|-156.2100|12310|Digital
Pin|VIA7|-29.1999|-0.6000|12310|Digital
Pin|123.D12|-29.2100|-156.2100|12312|Digital
Pin|VIA5|-28.7999|-0.6000|12312|Digital
Pin|124.D2|-54.6100|-176.5300|12402|Digital
Pin|VIA19|-30.3999|0.2000|12402|Digital
Pin|124.D4|-49.5300|-176.5300|12404|Digital
Pin|VIA24|-30.7999|0.2000|12404|Digital
Pin|124.D8|-39.3700|-176.5300|12408|Digital
Pin|VIA30|-31.1999|0.2000|12408|Digital
Pin|124.D9|-36.8300|-179.0700|12409|Digital
Pin|VIA31|-31.1999|-0.2000|12409|Digital
Pin|124.D11|-31.7500|-179.0700|12411|Digital
Pin|VIA25|-30.7999|-0.2000|12411|Digital
Pin|124.D12|-29.2100|-176.5300|12412|Digital
Pin|VIA14|-29.9999|-0.2000|12412|Digital
Pin|315/715.C2|54.6100|166.3700|31502|Digital
Pin|VIA69|30.0000|-0.5999|31502|Digital
Pin|315/715.C4|49.5300|166.3700|31504|Digital
Pin|VIA76|30.8000|-0.5999|31504|Digital
Pin|315/715.C10|34.2900|166.3700|31510|Digital
Pin|VIA48|28.4000|1.0001|31510|Digital
Pin|315/715.C12|29.2100|166.3700|31512|Digital
Pin|VIA66|29.6000|-0.5999|31512|Digital
Pin|316/716.C2|54.6100|186.6900|31602|Digital
Pin|VIA67|29.6000|-0.9999|31602|Digital
Pin|115/515.D3|52.0700|153.6700|51502|Digital
Pin|VIA68|29.6000|0.2001|51502|Digital
Pin|115/515.D5|46.9900|153.6700|51504|Digital
Pin|VIA60|29.2000|0.2001|51504|Digital
Pin|115/515.D7|41.9100|153.6700|51506|Digital
Pin|VIA56|28.8000|0.2001|51506|Digital
Pin|115/515.D9|36.8300|153.6700|51508|Digital
Pin|VIA57|28.8000|-0.1999|51508|Digital
Pin|115/515.D11|31.7500|153.6700|51510|Digital
Pin|VIA61|29.2000|0.6001|51510|Digital
Pin|115/515.A12|29.2100|161.2900|51511|Digital
Pin|VIA49|28.4000|0.6001|51511|Digital
Pin|115/515.D13|26.6700|153.6700|51512|Digital
Pin|VIA50|28.4000|0.2001|51512|Digital
Pin|115/515.D15|21.5900|153.6700|51514|Digital
Pin|VIA62|29.2000|-0.1999|51514|Digital
Pin|115/515.B17|16.5100|158.7500|51516|Digital
Pin|VIA43|28.0000|0.2001|51516|Digital
Pin|116/516.A2|54.6100|181.6100|51601|Digital
Pin|VIA74|30.4000|-0.9999|51601|Digital
Pin|116/516.D3|52.0700|173.9900|51602|Digital
Pin|VIA77|30.8000|-0.9999|51602|Digital
Pin|116/516.D5|46.9900|173.9900|51604|Digital
Pin|VIA80|31.2000|-0.9999|51604|Digital
Pin|116/516.D11|31.7500|173.9900|51610|Digital
Pin|VIA44|28.0000|-0.1999|51610|Digital
Pin|116/516.D15|21.5900|173.9900|51614|Digital
Pin|VIA51|28.4000|-0.9999|51614|Digital
Pin|116/516.B17|16.5100|179.0700|51616|Digital
Pin|VIA63|29.2000|-0.9999|51616|Digital
Pin|315/715.D3|52.0700|163.8300|71502|Digital
Pin|VIA81|31.6000|-0.9999|71502|Digital
Pin|315/715.D5|46.9900|163.8300|71504|Digital
Pin|VIA82|31.6000|-0.5999|71504|Digital
Pin|315/715.D11|31.7500|163.8300|71510|Digital
Pin|VIA70|30.0000|-0.1999|71510|Digital
Pin|315/715.D13|26.6700|163.8300|71512|Digital
Pin|VIA75|30.4000|-0.1999|71512|Digital
Pin|315/715.A16|19.0500|171.4500|71515|Digital
Pin|VIA45|28.0000|-0.9999|71515|Digital
Pin|315/715.B17|16.5100|168.9100|71516|Digital
Pin|VIA46|28.0000|-0.5999|71516|Digital
Pin|316/716.D3|52.0700|184.1500|71602|Digital
Pin|VIA71|30.0000|-0.9999|71602|Digital
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
|||||
