Type|X1 Location|Y1 Location|X2 Location|Y2 Location|Net Name|Layer Number|Length|Width
Trace|-26.2890|1.9050|-24.1300|-0.2540|10105|L11-SIG2|3.053287|0.1181
Trace|-29.0253|1.9050|-26.2890|1.9050|10105|L11-SIG2|2.736300|0.1181
Trace|-29.4012|1.5292|-29.0253|1.9050|10105|L11-SIG2|0.531532|0.1181
Trace|-29.4012|1.3150|-29.4012|1.5292|10105|L11-SIG2|0.214200|0.1181
Trace|-29.4012|0.3987|-29.4012|1.3150|10105|L11-SIG2|0.916300|0.0737
Trace|-29.5999|0.2000|-29.4012|0.3987|10105|L11-SIG2|0.281004|0.0737
Trace|-22.8234|-59.2186|25.2730|-107.3150|10105|L11-SIG2|68.018581|0.1181
Trace|-22.8234|-3.1295|-22.8234|-59.2186|10105|L11-SIG2|56.089100|0.1181
Trace|-24.1300|-1.8229|-22.8234|-3.1295|10105|L11-SIG2|1.847811|0.1181
Trace|-24.1300|-0.2540|-24.1300|-1.8229|10105|L11-SIG2|1.568900|0.1181
Trace|25.2730|-116.7130|26.6700|-118.1100|10105|L11-SIG2|1.975656|0.1181
Trace|25.2730|-107.3150|25.2730|-116.7130|10105|L11-SIG2|9.398000|0.1181
Trace|-25.4355|-91.4045|19.0500|-135.8900|10202|L11-SIG2|62.911997|0.1181
Trace|-25.4355|-1.8695|-25.4355|-91.4045|10202|L11-SIG2|89.535000|0.1181
Trace|-27.3050|0.0000|-25.4355|-1.8695|10202|L11-SIG2|2.643872|0.1181
Trace|-29.5999|-0.6000|-29.3986|-0.3987|10202|L11-SIG2|0.284681|0.0737
Trace|-27.6849|0.0000|-27.3050|0.0000|10202|L11-SIG2|0.379900|0.1181
Trace|-29.2810|0.0000|-27.6849|0.0000|10202|L11-SIG2|1.596100|0.0737
Trace|-29.3986|-0.1177|-29.2810|0.0000|10202|L11-SIG2|0.166382|0.0737
Trace|-29.3986|-0.3987|-29.3986|-0.1177|10202|L11-SIG2|0.281000|0.0737
Trace|31.6230|-1.6510|32.6390|-1.6510|11502|L11-SIG2|1.016000|0.1181
Trace|31.3987|-1.4267|31.6230|-1.6510|11502|L11-SIG2|0.317208|0.1181
Trace|31.3987|-1.3149|31.3987|-1.4267|11502|L11-SIG2|0.111800|0.1181
Trace|31.3987|-0.7986|31.3987|-1.3149|11502|L11-SIG2|0.516300|0.0737
Trace|31.2000|-0.5999|31.3987|-0.7986|11502|L11-SIG2|0.281004|0.0737
Trace|33.6550|-0.6350|33.6550|3.2751|11502|L11-SIG2|3.910100|0.1181
Trace|32.6390|-1.6510|33.6550|-0.6350|11502|L11-SIG2|1.436841|0.1181
Trace|36.1950|5.8151|36.1950|9.6599|11502|L11-SIG2|3.844800|0.1181
Trace|33.6550|3.2751|36.1950|5.8151|11502|L11-SIG2|3.592102|0.1181
Trace|36.1950|9.6599|41.0959|14.5608|11502|L11-SIG2|6.930919|0.1181
Trace|41.0959|14.5608|41.0959|98.9937|11502|L11-SIG2|84.432900|0.1181
Trace|41.0959|98.9937|53.3469|111.2446|11502|L11-SIG2|17.325460|0.1181
Trace|53.3469|111.2446|53.3469|154.9469|11502|L11-SIG2|43.702300|0.1181
Trace|53.3469|154.9469|54.6100|156.2100|11502|L11-SIG2|1.786293|0.1181
Trace|30.6013|-0.3986|30.4000|-0.5999|11504|L11-SIG2|0.284681|0.0737
Trace|30.6013|-0.1176|30.6013|-0.3986|11504|L11-SIG2|0.281000|0.0737
Trace|30.7188|0.0000|30.6013|-0.1176|11504|L11-SIG2|0.166241|0.0737
Trace|32.2848|0.0000|30.7188|0.0000|11504|L11-SIG2|1.566000|0.0737
Trace|32.3150|0.0301|32.2848|0.0000|11504|L11-SIG2|0.042639|0.0737
Trace|32.6390|0.3542|32.3150|0.0301|11504|L11-SIG2|0.458276|0.1181
Trace|32.6390|3.8100|32.6390|0.3542|11504|L11-SIG2|3.455800|0.1181
Trace|33.5872|4.7582|32.6390|3.8100|11504|L11-SIG2|1.340957|0.1181
Trace|33.5872|9.5842|33.5872|4.7582|11504|L11-SIG2|4.826000|0.1181
Trace|35.8140|11.8110|33.5872|9.5842|11504|L11-SIG2|3.149171|0.1181
Trace|35.8140|97.8070|35.8140|11.8110|11504|L11-SIG2|85.996000|0.1181
Trace|48.2600|110.2530|35.8140|97.8070|11504|L11-SIG2|17.601302|0.1181
Trace|48.2600|154.9400|48.2600|110.2530|11504|L11-SIG2|44.687000|0.1181
Trace|49.5300|156.2100|48.2600|154.9400|11504|L11-SIG2|1.796051|0.1181
Trace|30.5987|0.3988|30.4000|0.2001|11508|L11-SIG2|0.281004|0.0737
Trace|30.5987|1.3151|30.5987|0.3988|11508|L11-SIG2|0.916300|0.0737
Trace|30.5987|4.6537|30.5987|1.3151|11508|L11-SIG2|3.338600|0.1181
Trace|30.9917|5.0467|30.5987|4.6537|11508|L11-SIG2|0.555786|0.1181
Trace|30.9917|10.6895|30.9917|5.0467|11508|L11-SIG2|5.642800|0.1181
Trace|32.7050|12.4028|30.9917|10.6895|11508|L11-SIG2|2.422972|0.1181
Trace|32.7050|98.7450|32.7050|12.4028|11508|L11-SIG2|86.342200|0.1181
Trace|38.2270|104.2670|32.7050|98.7450|11508|L11-SIG2|7.809287|0.1181
Trace|38.2270|155.0670|38.2270|104.2670|11508|L11-SIG2|50.800000|0.1181
Trace|39.3700|156.2100|38.2270|155.0670|11508|L11-SIG2|1.616446|0.1181
Trace|29.7180|1.9050|29.7180|12.7716|11510|L11-SIG2|10.866600|0.1181
Trace|30.1987|1.4243|29.7180|1.9050|11510|L11-SIG2|0.679812|0.1181
Trace|30.1987|1.3151|30.1987|1.4243|11510|L11-SIG2|0.109200|0.1181
Trace|30.1987|0.9178|30.1987|1.3151|11510|L11-SIG2|0.397300|0.0737
Trace|30.0798|0.7988|30.1987|0.9178|11510|L11-SIG2|0.168221|0.0737
Trace|29.9176|0.7988|30.0798|0.7988|11510|L11-SIG2|0.162200|0.0737
Trace|29.7189|0.6001|29.9176|0.7988|11510|L11-SIG2|0.281004|0.0737
Trace|29.6000|0.6001|29.7189|0.6001|11510|L11-SIG2|0.118900|0.0737
Trace|30.2116|13.2652|30.2116|100.8236|11510|L11-SIG2|87.558400|0.1181
Trace|29.7180|12.7716|30.2116|13.2652|11510|L11-SIG2|0.698056|0.1181
Trace|30.2116|100.8236|35.6870|106.2990|11510|L11-SIG2|7.743385|0.1181
Trace|35.6870|106.2990|35.6870|154.8130|11510|L11-SIG2|48.514000|0.1181
Trace|35.6870|154.8130|34.2900|156.2100|11510|L11-SIG2|1.975656|0.1181
Trace|27.2483|4.5613|27.2483|11.6137|11512|L11-SIG2|7.052400|0.1181
Trace|27.9400|3.8696|27.2483|4.5613|11512|L11-SIG2|0.978212|0.1181
Trace|27.9400|2.1590|27.9400|3.8696|11512|L11-SIG2|1.710600|0.1181
Trace|28.6013|1.4977|27.9400|2.1590|11512|L11-SIG2|0.935219|0.1181
Trace|28.6013|1.3151|28.6013|1.4977|11512|L11-SIG2|0.182600|0.1181
Trace|28.6013|0.7988|28.6013|1.3151|11512|L11-SIG2|0.516300|0.0737
Trace|28.8000|0.6001|28.6013|0.7988|11512|L11-SIG2|0.281004|0.0737
Trace|25.4988|13.3632|25.4988|104.2388|11512|L11-SIG2|90.875600|0.1181
Trace|27.2483|11.6137|25.4988|13.3632|11512|L11-SIG2|2.474167|0.1181
Trace|25.4988|104.2388|30.3530|109.0930|11512|L11-SIG2|6.864875|0.1181
Trace|30.3530|109.0930|30.3530|155.0670|11512|L11-SIG2|45.974000|0.1181
Trace|30.3530|155.0670|29.2100|156.2100|11512|L11-SIG2|1.616446|0.1181
Trace|11.5867|19.6553|22.6718|8.5702|11514|L11-SIG2|15.676699|0.1181
Trace|11.5867|27.8435|11.5867|19.6553|11514|L11-SIG2|8.188200|0.1181
Trace|16.8250|33.0817|11.5867|27.8435|11514|L11-SIG2|7.408004|0.1181
Trace|16.8250|106.6140|16.8250|33.0817|11514|L11-SIG2|73.532300|0.1181
Trace|22.9870|112.7760|16.8250|106.6140|11514|L11-SIG2|8.714384|0.1181
Trace|25.1473|0.3797|26.3256|-0.7986|11514|L11-SIG2|1.666368|0.1181
Trace|25.1473|2.1755|25.1473|0.3797|11514|L11-SIG2|1.795800|0.1181
Trace|24.7175|2.6053|25.1473|2.1755|11514|L11-SIG2|0.607829|0.1181
Trace|23.6837|2.6053|24.7175|2.6053|11514|L11-SIG2|1.033800|0.1181
Trace|22.6718|3.6172|23.6837|2.6053|11514|L11-SIG2|1.431043|0.1181
Trace|22.6718|8.5702|22.6718|3.6172|11514|L11-SIG2|4.953000|0.1181
Trace|22.9870|155.0670|22.9870|112.7760|11514|L11-SIG2|42.291000|0.1181
Trace|24.1300|156.2100|22.9870|155.0670|11514|L11-SIG2|1.616446|0.1181
Trace|28.2013|-0.7986|28.4000|-0.5999|11514|L11-SIG2|0.281004|0.0737
Trace|27.6850|-0.7986|28.2013|-0.7986|11514|L11-SIG2|0.516300|0.0737
Trace|26.3256|-0.7986|27.6850|-0.7986|11514|L11-SIG2|1.359400|0.1181
Trace|10.3533|18.8567|21.5785|7.6315|11515|L11-SIG2|15.874830|0.1181
Trace|10.3533|28.8387|10.3533|18.8567|11515|L11-SIG2|9.982000|0.1181
Trace|14.8135|33.2989|10.3533|28.8387|11515|L11-SIG2|6.307675|0.1181
Trace|14.8135|107.4429|14.8135|33.2989|11515|L11-SIG2|74.144000|0.1181
Trace|20.0050|112.6344|14.8135|107.4429|11515|L11-SIG2|7.341890|0.1181
Trace|25.0190|-1.9050|28.1521|-1.9050|11515|L11-SIG2|3.133100|0.1181
Trace|22.9014|0.2126|25.0190|-1.9050|11515|L11-SIG2|2.994739|0.1181
Trace|22.9014|2.0175|22.9014|0.2126|11515|L11-SIG2|1.804900|0.1181
Trace|21.5785|3.3404|22.9014|2.0175|11515|L11-SIG2|1.870863|0.1181
Trace|21.5785|7.6315|21.5785|3.3404|11515|L11-SIG2|4.291100|0.1181
Trace|20.0050|112.7150|20.0050|112.6344|11515|L11-SIG2|0.080600|0.1181
Trace|20.3200|113.0300|20.0050|112.7150|11515|L11-SIG2|0.445477|0.1181
Trace|20.3200|157.4800|20.3200|113.0300|11515|L11-SIG2|44.450000|0.1181
Trace|21.5900|158.7500|20.3200|157.4800|11515|L11-SIG2|1.796051|0.1181
Trace|28.5987|-0.8012|28.8000|-0.5999|11515|L11-SIG2|0.284681|0.0737
Trace|28.5987|-1.3149|28.5987|-0.8012|11515|L11-SIG2|0.513700|0.0737
Trace|28.5987|-1.4584|28.5987|-1.3149|11515|L11-SIG2|0.143500|0.1181
Trace|28.1521|-1.9050|28.5987|-1.4584|11515|L11-SIG2|0.631588|0.1181
Trace|1.5748|54.4906|9.0703|46.9951|11516|L11-SIG2|10.600238|0.1181
Trace|1.5748|138.7348|1.5748|54.4906|11516|L11-SIG2|84.244200|0.1181
Trace|19.0500|156.2100|1.5748|138.7348|11516|L11-SIG2|24.713665|0.1181
Trace|9.0703|17.9807|20.3200|6.7310|11516|L11-SIG2|15.909478|0.1181
Trace|9.0703|46.9951|9.0703|17.9807|11516|L11-SIG2|29.014400|0.1181
Trace|24.1300|-2.9210|28.0197|-2.9210|11516|L11-SIG2|3.889700|0.1181
Trace|20.3200|0.8890|24.1300|-2.9210|11516|L11-SIG2|5.388154|0.1181
Trace|20.3200|6.7310|20.3200|0.8890|11516|L11-SIG2|5.842000|0.1181
Trace|28.9987|-0.8012|29.2000|-0.5999|11516|L11-SIG2|0.284681|0.0737
Trace|28.9987|-1.3149|28.9987|-0.8012|11516|L11-SIG2|0.513700|0.0737
Trace|28.9987|-1.9420|28.9987|-1.3149|11516|L11-SIG2|0.627100|0.1181
Trace|28.0197|-2.9210|28.9987|-1.9420|11516|L11-SIG2|1.384515|0.1181
Trace|-42.9260|-114.0460|-44.4500|-115.5700|12106|L11-SIG2|2.155261|0.1181
Trace|-42.9260|-111.3790|-42.9260|-114.0460|12106|L11-SIG2|2.667000|0.1181
Trace|-33.9090|-102.3620|-42.9260|-111.3790|12106|L11-SIG2|12.751964|0.1181
Trace|-33.9090|-2.2860|-33.9090|-102.3620|12106|L11-SIG2|100.076000|0.1181
Trace|-32.4218|-0.7987|-33.9090|-2.2860|12106|L11-SIG2|2.103289|0.1181
Trace|-32.3149|-0.7987|-32.4218|-0.7987|12106|L11-SIG2|0.106900|0.1181
Trace|-31.7986|-0.7987|-32.3149|-0.7987|12106|L11-SIG2|0.516300|0.0737
Trace|-31.5999|-0.6000|-31.7986|-0.7987|12106|L11-SIG2|0.281004|0.0737
Trace|-40.7670|-116.9670|-41.9100|-118.1100|12107|L11-SIG2|1.616446|0.1181
Trace|-40.7670|-112.1410|-40.7670|-116.9670|12107|L11-SIG2|4.826000|0.1181
Trace|-32.7660|-104.1400|-40.7670|-112.1410|12107|L11-SIG2|11.315123|0.1181
Trace|-32.7660|-2.7437|-32.7660|-104.1400|12107|L11-SIG2|101.396300|0.1181
Trace|-31.4012|-1.3789|-32.7660|-2.7437|12107|L11-SIG2|1.930119|0.1181
Trace|-31.4012|-1.3150|-31.4012|-1.3789|12107|L11-SIG2|0.063900|0.1181
Trace|-31.4012|-0.8013|-31.4012|-1.3150|12107|L11-SIG2|0.513700|0.0737
Trace|-31.1999|-0.6000|-31.4012|-0.8013|12107|L11-SIG2|0.284681|0.0737
Trace|-31.6230|-107.8230|-39.3700|-115.5700|12108|L11-SIG2|10.955912|0.1181
Trace|-31.6230|-2.4252|-31.6230|-107.8230|12108|L11-SIG2|105.397800|0.1181
Trace|-31.0012|-1.8033|-31.6230|-2.4252|12108|L11-SIG2|0.879429|0.1181
Trace|-31.0012|-1.3150|-31.0012|-1.8033|12108|L11-SIG2|0.488300|0.1181
Trace|-31.0012|-0.8012|-31.0012|-1.3150|12108|L11-SIG2|0.513800|0.0737
Trace|-30.7999|-0.6000|-31.0012|-0.8012|12108|L11-SIG2|0.284610|0.0737
Trace|-30.6012|-114.1788|-29.2100|-115.5700|12112|L11-SIG2|1.967454|0.1181
Trace|-30.6012|-1.3150|-30.6012|-114.1788|12112|L11-SIG2|112.863800|0.1181
Trace|-30.6012|-0.8012|-30.6012|-1.3150|12112|L11-SIG2|0.513800|0.0737
Trace|-30.3999|-0.6000|-30.6012|-0.8012|12112|L11-SIG2|0.284610|0.0737
Trace|-54.6100|-135.8900|-53.3400|-134.6200|12202|L11-SIG2|1.796051|0.1181
Trace|-53.3400|-134.6200|-53.3400|-111.1250|12202|L11-SIG2|23.495000|0.1181
Trace|-53.3400|-111.1250|-48.6410|-106.4260|12202|L11-SIG2|6.645390|0.1181
Trace|-48.6410|-106.4260|-48.6410|-13.8430|12202|L11-SIG2|92.583000|0.1181
Trace|-48.6410|-13.8430|-33.1470|1.6510|12202|L11-SIG2|21.911825|0.1181
Trace|-31.6903|1.6510|-31.4012|1.3619|12202|L11-SIG2|0.408849|0.1181
Trace|-33.1470|1.6510|-31.6903|1.6510|12202|L11-SIG2|1.456700|0.1181
Trace|-31.4012|0.8013|-31.1999|0.6000|12202|L11-SIG2|0.284681|0.0737
Trace|-31.4012|1.3150|-31.4012|0.8013|12202|L11-SIG2|0.513700|0.0737
Trace|-31.4012|1.3619|-31.4012|1.3150|12202|L11-SIG2|0.046900|0.1181
Trace|-50.9270|-137.2870|-52.0700|-138.4300|12203|L11-SIG2|1.616446|0.1181
Trace|-50.9270|-112.0140|-50.9270|-137.2870|12203|L11-SIG2|25.273000|0.1181
Trace|-36.1950|-97.2820|-50.9270|-112.0140|12203|L11-SIG2|20.834194|0.1181
Trace|-36.1950|-2.4130|-36.1950|-97.2820|12203|L11-SIG2|94.869000|0.1181
Trace|-32.9833|0.7987|-36.1950|-2.4130|12203|L11-SIG2|4.542030|0.1181
Trace|-32.3149|0.7987|-32.9833|0.7987|12203|L11-SIG2|0.668400|0.1181
Trace|-31.7986|0.7987|-32.3149|0.7987|12203|L11-SIG2|0.516300|0.0737
Trace|-31.5999|0.6000|-31.7986|0.7987|12203|L11-SIG2|0.281004|0.0737
Trace|-48.2600|-134.6200|-49.5300|-135.8900|12204|L11-SIG2|1.796051|0.1181
Trace|-48.2600|-113.0300|-48.2600|-134.6200|12204|L11-SIG2|21.590000|0.1181
Trace|-35.0520|-99.8220|-48.2600|-113.0300|12204|L11-SIG2|18.678933|0.1181
Trace|-35.0520|-2.2860|-35.0520|-99.8220|12204|L11-SIG2|97.536000|0.1181
Trace|-32.3673|0.3987|-35.0520|-2.2860|12204|L11-SIG2|3.796739|0.1181
Trace|-32.3149|0.3987|-32.3673|0.3987|12204|L11-SIG2|0.052400|0.1181
Trace|-31.7986|0.3987|-32.3149|0.3987|12204|L11-SIG2|0.516300|0.0737
Trace|-31.5999|0.2000|-31.7986|0.3987|12204|L11-SIG2|0.281004|0.0737
Trace|-34.2900|-135.8900|-30.4800|-132.0800|12210|L11-SIG2|5.388154|0.1181
Trace|-30.4800|-132.0800|-16.0020|-132.0800|12210|L11-SIG2|14.478000|0.1181
Trace|-14.8590|-113.2840|-29.1701|-98.9729|12210|L11-SIG2|20.238952|0.1181
Trace|-29.1701|-98.9729|-29.1701|-4.6119|12210|L11-SIG2|94.361000|0.1181
Trace|-30.2012|-0.8013|-29.9999|-0.6000|12210|L11-SIG2|0.284681|0.0737
Trace|-30.2012|-1.1987|-30.2012|-0.8013|12210|L11-SIG2|0.397400|0.0737
Trace|-30.2012|-1.2555|-30.2012|-1.1987|12210|L11-SIG2|0.056800|0.1181
Trace|-29.8450|-1.6117|-30.2012|-1.2555|12210|L11-SIG2|0.503743|0.1181
Trace|-29.8450|-3.9370|-29.8450|-1.6117|12210|L11-SIG2|2.325300|0.1181
Trace|-29.1701|-4.6119|-29.8450|-3.9370|12210|L11-SIG2|0.954453|0.1181
Trace|-14.8590|-130.9370|-14.8590|-113.2840|12210|L11-SIG2|17.653000|0.1181
Trace|-16.0020|-132.0800|-14.8590|-130.9370|12210|L11-SIG2|1.616446|0.1181
Trace|-60.7060|-150.1140|-60.7060|-110.9980|12302|L11-SIG2|39.116000|0.1181
Trace|-54.6100|-156.2100|-60.7060|-150.1140|12302|L11-SIG2|8.621046|0.1181
Trace|-60.7060|-110.9980|-53.4670|-103.7590|12302|L11-SIG2|10.237492|0.1181
Trace|-53.4670|-103.7590|-53.4670|-14.3025|12302|L11-SIG2|89.456500|0.1181
Trace|-53.4670|-14.3025|-36.4975|2.6670|12302|L11-SIG2|23.998497|0.1181
Trace|-34.5440|3.3020|-30.9880|3.3020|12302|L11-SIG2|3.556000|0.1181
Trace|-35.1790|2.6670|-34.5440|3.3020|12302|L11-SIG2|0.898026|0.1181
Trace|-36.4975|2.6670|-35.1790|2.6670|12302|L11-SIG2|1.318500|0.1181
Trace|-30.2810|0.6000|-30.3999|0.6000|12302|L11-SIG2|0.118900|0.0737
Trace|-30.0823|0.7987|-30.2810|0.6000|12302|L11-SIG2|0.281004|0.0737
Trace|-29.9201|0.7987|-30.0823|0.7987|12302|L11-SIG2|0.162200|0.0737
Trace|-29.7986|0.9202|-29.9201|0.7987|12302|L11-SIG2|0.171827|0.0737
Trace|-29.7986|1.3150|-29.7986|0.9202|12302|L11-SIG2|0.394800|0.0737
Trace|-29.7986|1.4776|-29.7986|1.3150|12302|L11-SIG2|0.162600|0.1181
Trace|-30.0990|1.7780|-29.7986|1.4776|12302|L11-SIG2|0.424830|0.1181
Trace|-30.0990|2.4130|-30.0990|1.7780|12302|L11-SIG2|0.635000|0.1181
Trace|-30.9880|3.3020|-30.0990|2.4130|12302|L11-SIG2|1.257236|0.1181
Trace|-55.8800|-149.8600|-49.5300|-156.2100|12304|L11-SIG2|8.980256|0.1181
Trace|-57.7850|-149.8600|-55.8800|-149.8600|12304|L11-SIG2|1.905000|0.1181
Trace|-58.9280|-148.7170|-57.7850|-149.8600|12304|L11-SIG2|1.616446|0.1181
Trace|-58.9280|-113.0300|-58.9280|-148.7170|12304|L11-SIG2|35.687000|0.1181
Trace|-50.9270|-105.0290|-58.9280|-113.0300|12304|L11-SIG2|11.315123|0.1181
Trace|-50.9270|-14.3510|-50.9270|-105.0290|12304|L11-SIG2|90.678000|0.1181
Trace|-34.1630|2.4130|-50.9270|-14.3510|12304|L11-SIG2|23.707876|0.1181
Trace|-31.3690|2.4130|-34.1630|2.4130|12304|L11-SIG2|2.794000|0.1181
Trace|-31.0012|2.0452|-31.3690|2.4130|12304|L11-SIG2|0.520148|0.1181
Trace|-31.0012|1.3150|-31.0012|2.0452|12304|L11-SIG2|0.730200|0.1181
Trace|-31.0012|0.7928|-31.0012|1.3150|12304|L11-SIG2|0.522200|0.0737
Trace|-30.8084|0.6000|-31.0012|0.7928|12304|L11-SIG2|0.272660|0.0737
Trace|-30.7999|0.6000|-30.8084|0.6000|12304|L11-SIG2|0.008500|0.0737
Trace|-34.2900|-156.2100|-30.6070|-152.5270|12310|L11-SIG2|5.208549|0.1181
Trace|-30.6070|-152.5270|-16.0020|-152.5270|12310|L11-SIG2|14.605000|0.1181
Trace|-12.4460|-113.4110|-27.9118|-97.9452|12310|L11-SIG2|21.871944|0.1181
Trace|-27.9118|-97.9452|-27.9118|-3.9652|12310|L11-SIG2|93.980000|0.1181
Trace|-28.9986|-0.8013|-29.1999|-0.6000|12310|L11-SIG2|0.284681|0.0737
Trace|-28.9986|-1.3150|-28.9986|-0.8013|12310|L11-SIG2|0.513700|0.0737
Trace|-28.9986|-2.8784|-28.9986|-1.3150|12310|L11-SIG2|1.563400|0.1181
Trace|-27.9118|-3.9652|-28.9986|-2.8784|12310|L11-SIG2|1.536967|0.1181
Trace|-16.0020|-152.5270|-12.4460|-148.9710|12310|L11-SIG2|5.028943|0.1181
Trace|-12.4460|-148.9710|-12.4460|-113.4110|12310|L11-SIG2|35.560000|0.1181
Trace|-27.8130|-154.8130|-14.9860|-154.8130|12312|L11-SIG2|12.827000|0.1181
Trace|-29.2100|-156.2100|-27.8130|-154.8130|12312|L11-SIG2|1.975656|0.1181
Trace|-26.5794|-97.1186|-26.5794|-3.4289|12312|L11-SIG2|93.689700|0.1181
Trace|-9.2710|-114.4270|-26.5794|-97.1186|12312|L11-SIG2|24.477774|0.1181
Trace|-28.5986|-0.8013|-28.7999|-0.6000|12312|L11-SIG2|0.284681|0.0737
Trace|-28.5986|-1.3150|-28.5986|-0.8013|12312|L11-SIG2|0.513700|0.0737
Trace|-28.5986|-1.4097|-28.5986|-1.3150|12312|L11-SIG2|0.094700|0.1181
Trace|-26.5794|-3.4289|-28.5986|-1.4097|12312|L11-SIG2|2.855580|0.1181
Trace|-14.9860|-154.8130|-9.2710|-149.0980|12312|L11-SIG2|8.082231|0.1181
